longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedrooms_ratio,households_rooms
-122.61,38.24,25.0,8.003363058629947,6.111467339502679,7.197435354096591,6.075346031088684,4.7,190100.0,True,False,False,False,False,0.7636124082753867,1.3173509817671682
-118.34,34.08,52.0,7.266128779556451,5.231108616854587,6.306275286948016,5.187385805840755,10.3661,500001.0,True,False,False,False,False,0.7199306226958878,1.4007303585122062
-117.93,34.08,35.0,6.536691597591305,4.859812404361672,5.940171252720432,4.859812404361672,3.9583,206000.0,True,False,False,False,False,0.7434666806297633,1.345050189946558
-118.42,34.0,31.0,7.565793282428515,6.124683390894205,6.910750787961936,6.018593214496234,3.9798,458600.0,True,False,False,False,False,0.8095229623995578,1.2570700515538635
-117.89,33.7,13.0,7.527255919373784,6.35088571671474,6.732210706467206,6.26530121273771,3.2386,129200.0,True,False,False,False,False,0.8437185854633584,1.2014196387031557
-118.41,34.0,30.0,8.174984532943087,6.840546529288687,8.226573474977114,6.78105762593618,3.191,271200.0,True,False,False,False,False,0.8367656845983062,1.2055618730735185
-121.91,37.42,19.0,7.429520842786462,5.961005339623274,7.110696122978827,5.932245187448011,4.1389,174100.0,True,False,False,False,False,0.8023404827527992,1.2523961178318328
-122.96,38.42,50.0,7.836369760545124,6.263398262591624,6.846943139585379,5.8916442118257715,2.9375,122900.0,True,False,False,False,False,0.7992729355532504,1.3300819735203764
-119.19,34.3,25.0,7.6953031349635665,5.771441123130016,6.840546529288687,5.802118375377063,6.311,283200.0,False,False,False,False,True,0.7499952921812145,1.3262919914941362
-121.89,37.35,48.0,7.354362330421477,6.0867747269123065,7.293017679772782,6.052089168924417,2.5673,177500.0,True,False,False,False,False,0.8276413988653011,1.2151774577585248
-118.74,34.26,27.0,8.151333337900432,6.302618975744905,7.4949862339505335,6.202535517187923,4.8717,204100.0,True,False,False,False,False,0.7732009862043371,1.3141937382401394
-118.23,34.0,35.0,5.123963979403259,4.110873864173311,5.5909869805108565,4.02535169073515,1.5227,350000.0,True,False,False,False,False,0.8022839115766125,1.2729233053590578
-118.41,33.96,15.0,6.023447592961033,4.859812404361672,5.739792912179234,4.927253685157205,3.9792,266700.0,True,False,False,False,False,0.8068157528324512,1.2224756381239286
-117.72,33.63,15.0,7.217443431696533,5.545177444479562,5.937536205082426,5.313205979041787,1.9,162500.0,True,False,False,False,False,0.768302169176283,1.3583970695218872
-121.84,39.73,52.0,6.86484777797086,5.575949103146316,6.2422232654551655,5.4116460518550396,1.3672,55000.0,False,True,False,False,False,0.8122465761060877,1.268532293537136
-121.99,37.56,18.0,8.613593685702552,6.913737350659685,7.879291485082271,6.879355804460439,5.0,269700.0,True,False,False,False,False,0.8026542234207763,1.2520930637310064
-118.25,33.97,37.0,6.678342114654332,5.351858133476067,6.703188113240863,5.365976015021851,2.2917,112000.0,True,False,False,False,False,0.8013752577503401,1.2445717416474766
-121.62,36.63,52.0,7.271008538280992,5.700443573390687,6.729824070489475,5.552959584921617,3.6286,165500.0,True,False,False,False,False,0.7839962700330404,1.3093933833094207
-123.13,40.85,18.0,7.409136443920128,5.934894195619588,6.516193076042964,5.645446897643238,1.8933,84700.0,False,True,False,False,False,0.8010237415036012,1.3124091995291223
-122.03,37.95,32.0,7.578656850594762,5.749392985908253,6.690842277418564,5.762051382780177,4.9485,202300.0,False,False,False,True,False,0.7586295433678395,1.3152706123453688
-119.31,36.63,26.0,7.536363938404511,6.0330862217988015,7.51479976048867,6.07073772800249,1.6486,55200.0,False,True,False,False,False,0.8005301059115304,1.241424728932289
-117.89,33.61,16.0,7.789040401657477,6.327936783729195,6.48768401848461,6.049733455231958,6.3017,350000.0,True,False,False,False,False,0.8124154526638011,1.287501417921367
-117.98,33.86,26.0,7.123672785204607,5.655991810819852,6.661854740545311,5.755742213586912,4.1287,205800.0,True,False,False,False,False,0.7939713096546166,1.237663627184098
-118.31,34.04,33.0,7.898039690764619,6.588926477533519,7.779466967458324,6.525029657843462,2.4048,208300.0,True,False,False,False,False,0.8342483369940671,1.2104220371275582
-122.73,38.46,14.0,8.304742269640771,7.1693500166706,7.751045117971802,7.055312843339752,2.0651,135400.0,True,False,False,False,False,0.8632838664818332,1.1770905775610627
-118.4,33.9,34.0,7.891704659330107,6.077642243349034,6.992096427415888,6.068425588244111,7.3151,492200.0,True,False,False,False,False,0.7701304731625549,1.3004533951307062
-118.12,33.82,42.0,7.309212365692763,5.627621113690637,6.51025834052315,5.5909869805108565,3.2794,224500.0,True,False,False,False,False,0.7699353681533447,1.3073205842137214
-118.22,34.09,42.0,7.442492722794441,6.192362489474872,7.571473648851271,6.104793232414985,2.5213,149700.0,True,False,False,False,False,0.8320280207341364,1.2191228170147668
-118.17,34.03,43.0,7.400620577371135,6.2285110035911835,7.526178913346146,6.220590170099739,2.2902,152400.0,True,False,False,False,False,0.8416200963789565,1.1896975005592556
-117.88,33.74,29.0,6.580639137284949,5.1647859739235145,6.952728644624869,5.204006687076795,3.1964,151900.0,True,False,False,False,False,0.7848456458675244,1.2645331824086181
-118.0,34.14,31.0,7.1693500166706,6.068425588244111,7.0317412587631285,6.054439346269371,1.0548,178100.0,False,True,False,False,False,0.8464401339219659,1.1841476322804712
-118.24,33.99,28.0,5.746203190540153,4.499809670330265,6.212606095751519,4.477336814478207,2.4107,96400.0,True,False,False,False,False,0.7830926824408511,1.2833975706180643
-118.03,33.79,26.0,8.579604451537634,6.7912214627261855,7.983781068977451,6.799055862058796,5.8914,237600.0,True,False,False,False,False,0.7915541446096697,1.2618817414657448
-117.75,33.72,10.0,7.80994708647679,5.8522024797744745,7.124478262493424,5.905361848054571,8.7603,362500.0,True,False,False,False,False,0.7493267771183466,1.3225179569732304
-118.36,33.83,35.0,7.947678571301568,6.1903154058531475,7.272398392570047,6.19644412779452,5.6013,350200.0,True,False,False,False,False,0.7788834626762439,1.2826192583019962
-120.09,39.4,17.0,6.981934677156389,5.648974238161206,5.147494476813453,4.174387269895637,2.125,83900.0,False,True,False,False,False,0.8090843726515539,1.6725651516589986
-120.76,37.65,25.0,8.07558263667172,6.52649485957079,7.749322464660356,6.46302945692067,2.0385,84300.0,False,True,False,False,False,0.8081763450643886,1.2495042287056752
-122.2,37.79,44.0,7.3914152346753585,6.115892125483034,7.2115567333138015,6.198478716492308,2.619,134700.0,False,False,False,True,False,0.8274318153297002,1.1924563385220637
-117.78,33.76,25.0,7.72356247227797,5.568344503761097,6.579251212010101,5.541263545158426,11.4537,500001.0,True,False,False,False,False,0.7209554559502102,1.3938269510798285
-121.29,38.61,26.0,7.503840746698951,5.703782474656201,6.871091294610546,5.762051382780177,4.4519,110500.0,False,True,False,False,False,0.7601150753586259,1.3022863296783662
-122.02,37.3,26.0,7.592870287844818,5.71042701737487,6.829793737512425,5.697093486505405,6.7123,354600.0,True,False,False,False,False,0.7520775149440534,1.332762101557558
-121.81,38.01,47.0,7.57198844937744,6.066108090103747,6.980075940561763,5.976350909297934,2.2361,105100.0,False,True,False,False,False,0.8011248472787218,1.2669919427918854
-118.33,33.99,46.0,7.367077059881012,5.755742213586912,6.656726524178391,5.659482215759621,3.2083,149600.0,True,False,False,False,False,0.7812789477839227,1.3017228041403424
-117.61,33.45,6.0,6.85751406254539,5.220355825078324,6.056784013228625,5.231108616854587,4.7237,220700.0,False,False,False,False,True,0.7612606809792846,1.310910280174749
-117.99,34.08,35.0,6.940222469119639,5.337538079701318,6.86171134048073,5.2574953720277815,2.8906,134800.0,False,True,False,False,False,0.7690730525499105,1.320062497067466
-118.11,33.87,15.0,8.08794755464267,6.395261598115449,7.480428306074208,6.428105272684596,5.0417,240800.0,True,False,False,False,False,0.790715018230357,1.258216412386922
-117.7,33.61,16.0,7.771488760117616,6.587550014824796,7.461065514354283,6.532334292222349,3.6484,322600.0,True,False,False,False,False,0.8476561207463033,1.1896955073733217
-118.03,34.01,10.0,8.784468454090355,6.9440872082295275,7.998335395952982,6.926577033222725,6.2319,403700.0,True,False,False,False,False,0.7904960037731273,1.2682264864674737
-122.13,37.45,37.0,7.160845906664299,5.288267030694535,6.236369590203704,5.332718793265369,7.9029,500001.0,False,False,False,True,False,0.7384975322221312,1.3428133348616942
-117.29,34.11,35.0,7.794411205726601,6.573680166960646,7.560601162768557,6.375024819828097,1.5561,68000.0,False,True,False,False,False,0.843383803273161,1.2226479780100337
-118.12,33.81,37.0,7.4949862339505335,5.805134968916488,6.7580945044277305,5.831882477283517,4.2143,228500.0,True,False,False,False,False,0.7745357746783557,1.2851744292079232
-119.05,34.13,12.0,4.060443010546419,3.1354942159291497,4.248495242049359,2.772588722239781,5.0066,275000.0,False,False,False,False,True,0.7722049559087895,1.464495248781893
